,FinalPL
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,0
2018-11-01,0
2018-11-02,0
2018-11-03,0
2018-11-04,-343
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,0
2018-11-14,4341
2018-11-15,2820
2018-11-16,614
2018-11-17,0
2018-11-18,2
2018-11-19,3689
2018-11-20,8366
2018-11-21,74
2018-11-22,0
2018-11-23,1665
2018-11-24,2467
2018-11-25,9852
2018-11-26,40
2018-11-27,-925
2018-11-28,-2234
2018-11-29,743
2018-11-30,-469
2018-12-01,0
2018-12-02,-1231
2018-12-03,0
2018-12-04,-1128
2018-12-05,0
2018-12-06,2962
2018-12-07,-3713
2018-12-08,-894
2018-12-09,-2262
2018-12-10,0
2018-12-11,-1227
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,44
2018-12-21,0
2018-12-22,4225
2018-12-23,200
2018-12-24,-1854
2018-12-25,3879
